City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Broome,US,78.71,few clouds,42.2506,-75.833,Chenango Valley State Park
3,Bubaque,GW,79.41,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
8,Tutoia,BR,78.37,few clouds,-2.7619,-42.2744,Tutóia Pousada Vila Beach
11,Brookhaven,US,75.24,moderate rain,31.5791,-90.4407,Americas Best Value Inn Brookhaven
13,Hithadhoo,MV,81.64,overcast clouds,-0.6,73.0833,Scoop Guest House
14,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
16,Hilo,US,89.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
21,Brewster,US,84.54,moderate rain,41.3973,-73.6171,Heidi's Inn
27,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
28,Socorro,US,86.02,broken clouds,31.6546,-106.3033,guarderia imss papalote
33,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
36,Shaoguan,CN,87.57,broken clouds,24.8,113.5833,Shangcheng Hotel
37,Atuona,PF,77.61,scattered clouds,-9.8,-139.0333,Villa Enata
38,Kavieng,PG,83.73,few clouds,-2.5744,150.7967,Nusa Island Retreat
40,Guerrero Negro,MX,77.31,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
42,Pingliang,CN,82.31,scattered clouds,35.5392,106.6861,North Gate Hostel
43,Faanui,PF,76.86,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
47,Scottsbluff,US,81.72,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
48,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
51,Arona,ES,77.9,few clouds,28.0996,-16.681,Paradise Court
53,Iranshahr,IR,86.34,clear sky,27.2025,60.6848,نیک سرشت
54,Roma,US,78.73,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
57,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
60,Banda Aceh,ID,82.71,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
65,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
67,Butaritari,KI,81.84,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
74,Birjand,IR,75.67,clear sky,32.8663,59.2211,Birjand Tourist Hotel
76,San Jose,US,77.68,few clouds,37.3394,-121.895,The Westin San Jose
84,Houston,US,87.39,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
90,Kalmunai,LK,80.15,overcast clouds,7.4167,81.8167,VS Villa
92,Karpathos,GR,75.16,clear sky,35.507,27.2132,Alex
96,Barra Dos Coqueiros,BR,75.22,few clouds,-10.9089,-37.0386,Quality Hotel Aracaju
97,Cobija,BO,76.84,broken clouds,-11.0267,-68.7692,Hotel Obelisco
99,Carutapera,BR,76.84,few clouds,-1.195,-46.02,Lidera
101,Jamnagar,IN,81.34,overcast clouds,22.4667,70.0667,Hotel Aram
102,Shingu,JP,89.8,overcast clouds,33.7333,135.9833,Shingu UI Hotel
107,Victoria,HK,82.33,overcast clouds,22.2855,114.1577,Mini Central
109,Ponnani,IN,76.32,overcast clouds,10.767,75.9252,Rouba Residency
