City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Provideniya,RU,64.3833,-173.3,53.71,58,40,13.42,scattered clouds
1,Ribeira Grande,PT,38.5167,-28.7,74.08,78,3,11.81,clear sky
2,Broome,US,42.2506,-75.833,78.71,75,20,10.36,few clouds
3,Bubaque,GW,11.2833,-15.8333,79.41,83,65,13.02,light rain
4,Punta Arenas,CL,-53.15,-70.9167,37.51,81,100,10.36,overcast clouds
5,Qaanaaq,GL,77.484,-69.3632,34.65,59,0,4.74,clear sky
6,Melo,UY,-32.3667,-54.1833,44.96,94,21,10.65,few clouds
7,Mount Isa,AU,-20.7333,139.5,73.17,18,0,12.66,clear sky
8,Tutoia,BR,-2.7619,-42.2744,78.37,80,20,11.97,few clouds
9,Ushuaia,AR,-54.8,-68.3,37.06,60,75,5.75,broken clouds
10,Longyearbyen,SJ,78.2186,15.6401,46.24,81,75,9.22,broken clouds
11,Brookhaven,US,31.5791,-90.4407,75.24,82,48,5.57,moderate rain
12,Arraial Do Cabo,BR,-22.9661,-42.0278,70.57,86,100,7.67,overcast clouds
13,Hithadhoo,MV,-0.6,73.0833,81.64,66,97,1.72,overcast clouds
14,Alofi,NU,-19.0595,-169.9187,78.69,69,75,12.66,broken clouds
15,Khatanga,RU,71.9667,102.5,65.55,64,55,20.24,broken clouds
16,Hilo,US,19.7297,-155.09,89.28,79,75,5.75,broken clouds
17,Vao,NC,-22.6667,167.4833,68.67,60,51,17.98,broken clouds
18,Mitu,CO,1.1983,-70.1733,72.79,95,44,0.87,scattered clouds
19,Tuatapere,NZ,-46.1333,167.6833,42.98,57,5,5.5,clear sky
20,Mar Del Plata,AR,-38.0023,-57.5575,51.1,89,100,4.61,overcast clouds
21,Brewster,US,41.3973,-73.6171,84.54,82,0,9.22,moderate rain
22,Saskylakh,RU,71.9167,114.0833,63.21,61,20,12.77,few clouds
23,Bredasdorp,ZA,-34.5322,20.0403,50.94,94,9,3.33,clear sky
24,Port Elizabeth,ZA,-33.918,25.5701,55.69,97,100,4.61,mist
25,Bluff,NZ,-46.6,168.3333,45.37,57,5,14.63,clear sky
26,Jamestown,US,42.097,-79.2353,74.01,73,75,8.05,moderate rain
27,Gat,IL,31.61,34.7642,75.88,70,0,2.26,clear sky
28,Socorro,US,31.6546,-106.3033,86.02,46,75,13.8,broken clouds
29,Pangnirtung,CA,66.1451,-65.7125,44.44,79,59,2.53,broken clouds
30,Albany,US,42.6001,-73.9662,79.27,82,97,6.93,overcast clouds
31,Nyrob,RU,60.733,56.7202,62.31,95,32,3.49,scattered clouds
32,Vilhena,BR,-12.7406,-60.1458,70.72,80,90,1.95,light rain
33,Georgetown,MY,5.4112,100.3354,87.73,77,20,3.44,few clouds
34,Ponta Do Sol,PT,32.6667,-17.1,72.72,80,0,4.83,clear sky
35,Ilulissat,GL,69.2167,-51.1,41.02,93,100,9.22,light rain
36,Shaoguan,CN,24.8,113.5833,87.57,64,61,3.09,broken clouds
37,Atuona,PF,-9.8,-139.0333,77.61,71,28,16.67,scattered clouds
38,Kavieng,PG,-2.5744,150.7967,83.73,70,20,10.07,few clouds
39,Dikson,RU,73.5069,80.5464,42.04,96,45,19.35,scattered clouds
40,Guerrero Negro,MX,27.9769,-114.0611,77.31,72,14,15.43,few clouds
41,Cherskiy,RU,68.75,161.3,69.01,27,100,17.54,overcast clouds
42,Pingliang,CN,35.5392,106.6861,82.31,62,32,4.92,scattered clouds
43,Faanui,PF,-16.4833,-151.75,76.86,61,47,16.4,scattered clouds
44,Mataura,NZ,-46.1927,168.8643,45.03,57,5,7.72,clear sky
45,Rikitea,PF,-23.1203,-134.9692,73.72,77,99,18.99,light rain
46,Rocha,UY,-34.4833,-54.3333,44.26,87,97,2.26,overcast clouds
47,Scottsbluff,US,41.8666,-103.6672,81.72,46,0,8.05,clear sky
48,Hambantota,LK,6.1241,81.1185,79.14,94,20,6.91,few clouds
49,Clyde River,CA,70.4692,-68.5914,43.03,75,100,16.11,overcast clouds
50,New Norfolk,AU,-42.7826,147.0587,55.92,49,6,1.81,clear sky
51,Arona,ES,28.0996,-16.681,77.9,51,20,20.71,few clouds
52,Tiksi,RU,71.6872,128.8694,51.3,80,100,9.1,overcast clouds
53,Iranshahr,IR,27.2025,60.6848,86.34,19,0,9.22,clear sky
54,Roma,US,43.2128,-75.4557,78.73,95,0,3.44,clear sky
55,Lebu,CL,-37.6167,-73.65,46.18,87,65,10.11,broken clouds
56,Qobustan,AZ,40.0824,49.412,79.48,52,90,21.83,overcast clouds
57,Kapaa,US,22.0752,-159.319,84.18,72,20,12.66,few clouds
58,Narsaq,GL,60.9167,-46.05,46.62,85,51,2.39,broken clouds
59,Carnarvon,AU,-24.8667,113.6333,66.52,46,2,19.82,clear sky
60,Banda Aceh,ID,5.5577,95.3222,82.71,67,100,8.19,overcast clouds
61,Manjacaze,MZ,-24.7117,33.8828,59.83,90,29,3.42,scattered clouds
62,Arcata,US,40.8665,-124.0828,72.68,76,0,12.66,clear sky
63,Lieksa,FI,63.3167,30.0167,56.19,69,99,1.72,overcast clouds
64,Thompson,CA,55.7435,-97.8558,64.56,100,75,11.5,broken clouds
65,Vaini,TO,-21.2,-175.2,80.76,89,40,11.5,scattered clouds
66,Cape Town,ZA,-33.9258,18.4232,59.38,83,0,3.0,clear sky
67,Butaritari,KI,3.0707,172.7902,81.84,77,27,15.21,scattered clouds
68,Bambous Virieux,MU,-20.3428,57.7575,70.05,83,40,10.36,light rain
69,Alice Springs,AU,-23.7,133.8833,67.55,17,5,12.66,clear sky
70,Kalanchak,UA,46.2562,33.2907,71.94,47,0,8.88,clear sky
71,Brae,GB,60.3964,-1.353,55.51,96,100,11.7,overcast clouds
72,Upernavik,GL,72.7868,-56.1549,42.55,81,100,1.66,overcast clouds
73,Bogorodskoye,RU,56.55,37.8833,52.66,95,100,5.01,overcast clouds
74,Birjand,IR,32.8663,59.2211,75.67,25,0,11.5,clear sky
75,Barrow,US,71.2906,-156.7887,44.62,65,100,11.5,overcast clouds
76,San Jose,US,37.3394,-121.895,77.68,59,20,12.66,few clouds
77,Haines Junction,CA,60.7522,-137.5108,58.95,51,100,5.75,overcast clouds
78,Hobart,AU,-42.8794,147.3294,56.26,68,20,6.91,few clouds
79,Mahebourg,MU,-20.4081,57.7,70.09,83,40,10.36,scattered clouds
80,Ossora,RU,59.2353,163.0719,64.89,65,13,9.31,few clouds
81,Anadyr,RU,64.75,177.4833,50.5,49,20,11.18,few clouds
82,Port Alfred,ZA,-33.5906,26.891,60.21,82,70,7.9,broken clouds
83,Hasaki,JP,35.7333,140.8333,95.29,72,96,23.82,overcast clouds
84,Houston,US,29.7633,-95.3633,87.39,72,0,11.5,clear sky
85,Nikolskoye,RU,59.7035,30.7861,54.81,96,71,0.22,broken clouds
86,Paris,FR,48.8534,2.3488,67.14,69,0,10.36,clear sky
87,Jinchang,CN,38.4953,102.1739,67.12,85,100,8.43,light rain
88,Camana,PE,-16.6228,-72.7111,60.24,80,35,9.57,scattered clouds
89,Cidreira,BR,-30.1811,-50.2056,59.59,85,100,12.28,overcast clouds
90,Kalmunai,LK,7.4167,81.8167,80.15,62,85,5.28,overcast clouds
91,Umm Kaddadah,SD,13.6017,26.6876,78.49,65,100,4.23,light rain
92,Karpathos,GR,35.507,27.2132,75.16,88,1,20.71,clear sky
93,Norman Wells,CA,65.282,-126.8329,71.64,33,75,4.61,broken clouds
94,Puerto Ayora,EC,-0.7393,-90.3518,68.56,88,92,3.0,overcast clouds
95,Kargasok,RU,59.0556,80.8572,64.11,61,22,4.52,few clouds
96,Barra Dos Coqueiros,BR,-10.9089,-37.0386,75.22,78,20,6.91,few clouds
97,Cobija,BO,-11.0267,-68.7692,76.84,77,69,2.28,broken clouds
98,Ilebo,CD,-4.3167,20.5833,70.77,38,0,1.14,clear sky
99,Carutapera,BR,-1.195,-46.02,76.84,87,21,6.15,few clouds
100,Nova Olimpia,BR,-14.7972,-57.2881,72.32,93,86,1.5,overcast clouds
101,Jamnagar,IN,22.4667,70.0667,81.34,86,100,9.64,overcast clouds
102,Shingu,JP,33.7333,135.9833,89.8,63,100,9.4,overcast clouds
103,Porto Tolle,IT,44.9497,12.3245,73.04,72,100,7.47,overcast clouds
104,Nsanje,MW,-16.92,35.262,62.04,79,0,1.1,clear sky
105,Abu Samrah,SY,35.3029,37.1841,69.87,79,0,10.0,clear sky
106,Pisco,PE,-13.7,-76.2167,60.03,82,20,5.75,few clouds
107,Victoria,HK,22.2855,114.1577,82.33,88,100,25.99,overcast clouds
108,Castro,BR,-24.7911,-50.0119,57.69,98,100,8.5,overcast clouds
109,Ponnani,IN,10.767,75.9252,76.32,88,100,13.18,overcast clouds
110,Saint George,US,37.1041,-113.5841,100.99,23,0,16.11,clear sky
111,East London,ZA,-33.0153,27.9116,60.4,82,23,5.59,few clouds
112,Tugdan,PH,12.3134,122.0853,83.97,70,98,8.08,overcast clouds
113,Souillac,MU,-20.5167,57.5167,70.18,83,40,10.36,scattered clouds
114,Byron Bay,AU,-28.65,153.6167,65.71,59,10,13.76,clear sky
115,Cervo,ES,43.6702,-7.4101,66.2,92,18,7.7,few clouds
116,Zhigansk,RU,66.7697,123.3711,58.91,68,62,12.41,broken clouds
117,Westport,US,41.1415,-73.3579,83.75,85,0,6.91,clear sky
118,Hermanus,ZA,-34.4187,19.2345,54.81,81,3,4.56,clear sky
119,Conceicao Do Mato Dentro,BR,-19.0372,-43.425,65.5,59,23,2.08,few clouds
120,Nanortalik,GL,60.1432,-45.2371,41.85,95,7,7.58,clear sky
121,Port Lincoln,AU,-34.7333,135.8667,58.91,47,17,12.41,few clouds
122,Busselton,AU,-33.65,115.3333,50.61,74,100,16.26,overcast clouds
123,Airai,TL,-8.9266,125.4092,73.2,44,83,5.3,broken clouds
124,Saint-Philippe,RE,-21.3585,55.7679,63.99,78,41,8.97,scattered clouds
125,Almaznyy,RU,48.0448,40.045,69.4,35,0,6.76,clear sky
126,Palu,ID,-0.8917,119.8707,83.61,80,83,1.72,broken clouds
127,Victoria Point,AU,-27.5833,153.3,72.16,46,0,3.0,clear sky
128,Margate,GB,51.3813,1.3862,63.3,91,6,1.99,clear sky
129,Xining,CN,36.6167,101.7667,70.03,74,100,2.06,light rain
130,Bahia Honda,CU,22.9036,-83.1592,80.28,83,9,8.79,moderate rain
131,Kruisfontein,ZA,-34.0033,24.7314,50.88,88,100,7.07,overcast clouds
132,Banfora,BF,10.6333,-4.7667,74.03,88,99,4.9,overcast clouds
133,Mount Gambier,AU,-37.8333,140.7667,55.74,60,5,5.01,clear sky
134,Ancud,CL,-41.8697,-73.8203,45.23,84,100,5.68,overcast clouds
135,Avarua,CK,-21.2078,-159.775,77.05,61,75,17.27,broken clouds
136,Balkanabat,TM,39.5108,54.3671,87.01,22,72,13.18,broken clouds
137,Hofn,IS,64.2539,-15.2082,51.73,92,100,18.81,overcast clouds
138,Kahului,US,20.8947,-156.47,87.82,65,20,24.16,few clouds
139,Dauphin,CA,51.1494,-100.0502,73.54,78,0,6.91,clear sky
140,Udachnyy,RU,66.4167,112.4,53.46,93,6,4.61,clear sky
141,Sangar,RU,63.9242,127.4739,69.4,55,19,2.04,few clouds
142,Hue,VN,16.4667,107.6,78.91,89,75,6.91,broken clouds
